,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,Daily_Return,Volatility,Day_of_Week,Day_of_Month,Month,Year,Close',High',Low',Open',Volume',SMA_20',SMA_50',EMA_20',EMA_50',RSI_14',MACD',MACD_Signal',Daily_Return',Volatility',Day_of_Week',Day_of_Month',Month',Year'
2021-02-26,43.391956,44.472546,43.374241,44.463690,23638400.000000,44.089476,44.895935,44.291947,44.573781,44.536444,-0.007741,-0.039419,-0.023520,0.010950,4.000000,26.000000,2.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,,,,,,43.391972,44.472561,43.374257,44.463705,23638400.000000,44.089478,44.895936,44.291949,44.573782,44.536547,-0.007740,-0.039419,-0.023520,0.010950,4.000000,26.000000,2.000000,2021.000000
2021-03-01,,,,,,,,,,,,,,,,,,,44.197987,44.676279,43.755121,43.790548,13901200.000000,44.166980,44.826141,44.283000,44.559045,49.850357,-0.017130,-0.034961,0.018575,0.010617,0.000000,1.000000,3.000000,2021.000000
2021-03-01,44.197983,44.676275,43.755117,43.790544,13901200.000000,44.166978,44.826140,44.282998,44.559043,49.850357,-0.017131,-0.034962,0.018575,0.010617,0.000000,1.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,44.375130,44.782569,44.020839,44.144841,11755100.000000,44.238724,44.773705,44.291774,44.551832,53.003074,-0.010161,-0.030001,0.004008,0.010565,1.000000,2.000000,3.000000,2021.000000
2021-03-02,44.375126,44.782565,44.020835,44.144837,11755100.000000,44.238722,44.773705,44.291772,44.551831,53.002983,-0.010162,-0.030002,0.004008,0.010565,1.000000,2.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,44.268837,44.782563,44.029689,44.038548,15410700.000000,44.283897,44.715424,44.289590,44.540735,52.844239,-0.013064,-0.026614,-0.002395,0.010419,2.000000,3.000000,3.000000,2021.000000
2021-03-03,44.268837,44.782563,44.029689,44.038548,15410700.000000,44.283895,44.715424,44.289588,44.540733,52.844284,-0.013065,-0.026614,-0.002395,0.010419,2.000000,3.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,,,,,,,44.233402,45.251994,43.949969,44.561125,22036400.000000,44.335711,44.648108,44.284239,44.528682,47.009956,-0.018017,-0.024894,-0.000800,0.010365,3.000000,4.000000,3.000000,2021.000000
2021-03-04,44.233402,45.251994,43.949969,44.561125,22036400.000000,44.335709,44.648108,44.284237,44.528681,47.010015,-0.018017,-0.024895,-0.000800,0.010365,3.000000,4.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-05,,,,,,,,,,,,,,,,,,,44.986282,45.127999,44.197982,44.330840,21310800.000000,44.414542,44.612325,44.351100,44.546627,50.771537,0.038367,-0.012242,0.017021,0.010929,4.000000,5.000000,3.000000,2021.000000
2021-03-05,44.986275,45.127992,44.197975,44.330832,21310800.000000,44.414539,44.612324,44.351097,44.546626,50.771541,0.038367,-0.012243,0.017020,0.010929,4.000000,5.000000,3.000000,2021.000000,,,,,,,,,,,,,,,,,,
2021-03-08,,,,,,,,,,,,,,,,,,,45.739151,46.492024,45.314001,45.588578,25084900.000000,44.502672,44.592485,44.483295,44.593393,59.913091,0.142164,0.018639,0.016736,0.011156,0.000000,8.000000,3.000000,2021.000000
